"ES_ID","study_ID","year","title","journal","species","strain","F0_sex_exercise","age_manipulation_d","age_mating_d","n_con_parent","n_exp_parent","parent_housing","temperature","photoperiod","manipulation_type","manipulation_mode","manipulatoion_intensity","manipulation_duration","manipulation_window","litter_size_con","litter_size_exp","litter_housing","F1_sex_test","comparison","data_source","tissue_measure","response_age_PND","response_age_life_phase","response_test","response_type","measure","unit_measure","exp_mean","exp_se","exp_n","con_mean","con_se","con_n","biological_direction","multi_use_con","cohort_ID","shared_ID","measure_comments","notes","exp_sd","con_sd","RR","VRR","CVR","VCVR","exerciselnCV","controllnCV","exerciseVlnCV","controlVlnCV","grouped_traits"
"186","Dayi_2012",2012,"Materl aerobic exercise during pregncy can increase spatial learning by affecting leptin expression on offspring's early and late period in life depending on gender","The Scientific World Jourl","rats","Wistar","female",NA,NA,7,7,NA,"23","12","treadmill-running","forced","8m/min; 30min/day",21,"pregnancy",NA,NA,NA,"female","F(con)-FE(exp)","fig.1b.png","whole animal",120,"adulthood","MWM","memory(MWM)","target time(memory)","sec",50.38461538,3.461538462,7,40.76923077,1.538461538,7,1,"no","Cohort_021","Shared_019","different F1 sex, and F1 ages",NA,9.15836992413701,4.07038663118595,0.211758228978613,0.00614399896697105,0.599171987671049,0.172810665633638,-2.43261455442867,-2.22085632545005,0.0681922676773396,0.0647779064900934,"behavior"
"187","Dayi_2012",2012,"Materl aerobic exercise during pregncy can increase spatial learning by affecting leptin expression on offspring's early and late period in life depending on gender","The Scientific World Jourl","rats","Wistar","female",NA,NA,7,7,NA,"23","12","treadmill-running","forced","8m/min; 30min/day",21,"pregnancy",NA,NA,NA,"male","M(con)-ME(exp)","fig.1b.png","whole animal",120,"adulthood","MWM","memory(MWM)","target time(memory)","sec",48.07692308,2.692307692,7,36.15384615,3.846153846,7,1,"no","Cohort_022","Shared_020","different F1 sex, and F1 ages",NA,7.12317660589828,10.1759665806106,0.28501895520268,0.0144533381624486,-0.641693899215699,0.181120004829115,-1.46944023655127,-1.18442128134859,0.0476209932183173,0.0383257076051587,"behavior"
"188","DastAmooz_2018",2018,"Physical activity as an option to reduce adverse effect of EMF exposure during pregncy","Intertiol Jourl of Developmental Neuroscience","rats","Wistar","female",NA,NA,10,10,NA,"23","12","swimming","forced","10min",21,"pregnancy",NA,NA,NA,"mixed","Control(con)-PA(exp)","fig.4A.png","whole animal",60,"adolescence","MWM","memory(MWM)","target time(memory)","sec",28.96551724,3.275862069,7,20,2.931034483,7,1,"no","Cohort_023","Shared_021","different types of measures",NA,8.66711636392351,7.75478832617277,0.370373788249275,0.0342679407326437,-0.259148153210877,0.20093460739931,-1.23446222735608,-0.864088439106805,0.0403057489251991,0.0272182478222226,"behavior"
"189","Duran_2018",2018,"Pretal and Early Posttal Environmental Enrichment Reduce Acute Cell Death and Prevent Neurodevelopment and Memory Impairments in Rats Submitted to Neotal Hypoxia Ischemia","Molecular Neurobiology","rats","Wistar","female",60,67,12,12,"grouped","22","12","enrichment","voluntary",NA,52,"pre-conception to post-partum",NA,NA,"with dam","mixed","SC-Sham(con)-EE-Sham(exp)","fig.6F.png","whole animal",67,"adolescence","MWM","memory(MWM)","target time(memory)","%",59.68586387,4.488481675,11,48.69109948,4.712041885,11,1,"no","Cohort_024","Shared_022","n of F1 assumed;n=10-12",NA,14.8866095943609,15.628074928984,0.203598955095314,0.0150205483988605,-0.252205802861288,0.115020548398861,-1.2900262345474,-1.08642727945208,0.0240418201467444,0.019676810675633,"behavior"
"190","Da_Silva_2016",2016,"Materl Exercise during Pregncy Increases BDNF Levels and Cell Numbers in the Hippocampal Formation but Not in the Cerebral Cortex of Adult Rat Offspring","PLoS ONE","rats","Wistar","female",NA,NA,17,15,NA,"21","12","treadmill-running","forced","12m/min.30min/day",20,"pregnancy","8","8","single","male","CTL(con)-EX(exp)","fig.5A.png","whole animal",71,"adulthood","MWM","memory(MWM)","target time(memory)","sec",18.27586207,1.034482759,15,21.72413793,2.068965517,15,1,"no","Cohort_025","Shared_023",NA,NA,4.0065344975457,8.01306899121842,-0.172842812735188,0.0122742819693661,-0.520304367341424,0.0837028533979375,-0.788793058231947,-0.961635870967135,0.00951750137678042,0.0117741579283991,"behavior"
"191","Park_2017",2017,"Paterl physical exercise improves spatial learning ability by enhancing hippocampal neuroplasticity in male pups born from obese materl rats","Jourl of Exercise Rehabilitation","rats","Sprague-Dawley","male",28,112,5,5,NA,"20","12","treadmill-running","forced","12.2m/min;29",84,"pre-conception","10","10",NA,"male","A(con)-B(exp)","fig.1C.png","whole animal",35,"adolescence","MWM","memory(MWM)","target time(memory)","%",30.18181818,0.927272727,10,25.27272727,0.545454545,10,1,"no","Cohort_037","Shared_033",NA,NA,2.93229382947551,1.72487872229081,0.177513855273524,0.00140971046391579,0.353114396327862,0.112520821575027,-2.80652739840895,-2.62901354313542,0.0481145619039619,0.0466911990232284,"behavior"
"192","Sanches_2017",2017,"Pregncy swimming causes short- and long-term neuroprotection against hypoxia-ischemia in very immature rats","Pediatric Research","rats","Wistar","female",NA,NA,6,6,NA,"22","12","swimming","forced","20min",21,"pregnancy",NA,NA,NA,"mixed","SESH(con)-SWSH(exp)","fig.3b.png","whole animal",52,"adolescence","MWM","memory(MWM)","target time(memory)","sec",22.5,2.5,10,8.75,1.875,10,1,"no","Cohort_046","Shared_042","n of F1 assumed;n=9-11",NA,7.90569415042095,5.92927061281571,0.944461608840852,0.0582640463592845,-0.65677953638907,0.169375157470396,-1.27805854773542,-0.333596938894571,0.0266827273736821,0.00883865431112495,"behavior"
"193","Sanches_2018",2018,"Brain Metabolism Alterations Induced by Pregncy Swimming Decreases Neurological Impairments Following Neotal Hypoxia-Ischemia in Very Immature Rats","Frontiers in Neurology","rats","Wistar","female",NA,NA,8,12,"single","22","12","swimming","forced","20min",21,"pregnancy",NA,NA,NA,"mixed","SESH(con)-SWSH(exp)","fig.5B.png","whole animal",52,"adolescence","MWM","memory(MWM)","target time(memory)","sec",26.81564246,4.548603352,12,22.90502793,4.748603352,12,1,"no","Cohort_048","Shared_044","n of F1 assumed;n=8-16",NA,15.7568242182842,16.4496445413118,0.157628944403685,0.0717530094614889,-0.200659257818755,0.16266210037058,-0.443226977124496,-0.285598032720811,0.0079674254665987,0.00736809618065826,"behavior"
"194","Sparling_2018",2018,"Effects of combined pre- and post-tal enrichment on anxiety-like, social, and cognitive behaviours in juvenile and adult rat offspring","Behavioural brain research","rats","Long-Evans","female",73,NA,6,9,"single","23","12","enrichment","voluntary",NA,21,"pregnancy","48","50","with dam","mixed","Control(con)-Enriched(exp)","fig.7A.png","whole animal",43,"adolescence","MWM","memory(MWM)","target time(memory)","sec",61.11111111,1.851851852,6,54.81481481,2.592592593,6,1,"no","Cohort_049","Shared_045","different F1 sex and ages","different types of measures",4.53609211662803,6.35052896376914,0.108733200206122,0.00315530797845167,-0.445205436904477,0.203155307978452,-2.16415559005591,-2.05542238984979,0.0773360056713166,0.0748051447948469,"behavior"
"195","Sparling_2018",2018,"Effects of combined pre- and post-tal enrichment on anxiety-like, social, and cognitive behaviours in juvenile and adult rat offspring","Behavioural brain research","rats","Long-Evans","female",73,NA,6,9,"single","23","12","enrichment","voluntary",NA,21,"pregnancy","48","50","with dam","female","Control(con)-Enriched(exp)","fig.7E.png","whole animal",80,"adulthood","MWM","memory(MWM)","target time(memory)","sec",31.53846154,1.538461538,6,30.76923077,1.923076923,6,1,"no","Cohort_050","Shared_046","different F1 sex and ages","different types of measures",3.76844575699743,4.71055719747153,0.0246926126141521,0.00628578598831417,-0.247836164188362,0.206285785988314,-1.80140160030491,-1.77670898769075,0.0685566246339405,0.0676569674071041,"behavior"
"196","Yin_2013",2013,"Paterl treadmill exercise enhances spatial learning and memory related to hippocampus among male offspring","Behavioural Brain Research","mice","C57BL/6","male",56,NA,10,10,"single","20-23","12","treadmill-running","forced","12m/min;60min/day",42,"pre-conception","8","8","single","male","CM(con)-EM(exp)","fig.3C.png","whole animal",29,"adolescence","MWM","memory(MWM)","target time(memory)","%",32.27272727,2.954545455,16,19.09090909,2.727272727,18,1,"no","Cohort_054","Shared_048","different types of measures",NA,11.81818182,11.570838236441,0.525010258721059,0.0287894368239975,-0.499937499994417,0.0915345348632132,-0.996322764174789,-0.47131250545373,0.0101252562435444,0.00488522243497148,"behavior"
"197","Zue _2016",2016,"Materl exposure to environmental enrichment before and during gestation influences behaviour of rat offspring in a sex-specific manner","Physiology and Behavior","rats","Wistar","female",21,80,15,16,"grouped","21-23","12","enrichment","voluntary",NA,21,"pre-conception to pregnancy","30","30","grouped","male","SC(con)-EE(exp)","fig.6D.png","whole animal",56,"adolescence","MWM","memory(MWM)","target time(memory)","sec",11.18518519,0.888888889,30,10.22222222,1.111111111,30,1,"no","Cohort_055","Shared_051","different F1 sex",NA,4.86864495621006,6.08580619389327,0.0900261523055745,0.0181302572779508,-0.313169703394784,0.0526130158986404,-0.591389566101755,-0.501363413796181,0.00332397485280238,0.00287926265560708,"behavior"
"198","Zue _2016",2016,"Materl exposure to environmental enrichment before and during gestation influences behaviour of rat offspring in a sex-specific manner","Physiology and Behavior","rats","Wistar","female",21,80,15,16,"grouped","21-23","12","enrichment","voluntary",NA,21,"pre-conception to pregnancy","30","30","grouped","female","SC(con)-EE(exp)","fig.6D.png","whole animal",56,"adolescence","MWM","memory(MWM)","target time(memory)","sec",11.40740741,0.814814815,30,10.96296296,1.111111111,30,1,"no","Cohort_056","Shared_052","different F1 sex",NA,4.46292454364899,6.08580619389327,0.0397403291470569,0.0153741372405697,-0.349895257123624,0.0498568958612593,-0.611062331497269,-0.571322002350212,0.00340660439267759,0.0031053211296128,"behavior"
"199","Klein_2019",2019,"Physical Exercise During Pregncy Prevents Cognitive Impairment Induced by Amyloid-¦Â in Adult Offspring Rats","Molecular Neurobiology","rats","Wistar","female",NA,NA,27,27,NA,"22","12","swimming","forced","30min",35,"pre-conception to pregnancy",NA,NA,"grouped","male","Sedentary(con)-Materl Exercise(exp)","fig.3d.png","whole animal",96,"adulthood","MWM","memory(MWM)","target time(memory)","sec",26.22641509,1.698113208,12,32.83018868,3.20754717,12,1,"no","Cohort_059","Shared_054",NA,NA,5.88243670651955,11.1112693322275,-0.224581366272293,0.0137378441928955,-0.41140740023986,0.104646935101986,-0.813352718501639,-1.03793408477393,0.0128643044800999,0.016796157268878,"behavior"
"200","Spindler_2018",2019,"Paterl physical exercise modulates global D methylation status in the hippocampus of male rat offspring","Neural Regeneration Research","rats","Wistar","male",60,NA,5,5,"groupded","20","12","treadmill-running","forced","5.2m/min; 28min/day",22,"pre-conception",NA,NA,NA,"male","SED(con)-EXE(exp)","fig.2C.png","whole animal",53,"adolescence","MWM","memory(MWM)","target time(memory)","sec",19.625,2.25,10,18.5,2,10,1,"no","Cohort_061","Shared_056",NA,NA,7.11512473537885,6.32455532033676,0.0590335315841929,0.0248319125133381,0.0587495040721904,0.135943023624449,-1.07680898105595,-1.01777544947176,0.0221393574928461,0.0205080083139394,"behavior"
"201","Benito_2018",2018,"R-Dependent Intergeneratiol Inheritance of Enhanced Syptic Plasticity after Environmental Enrichment","Cell Reports","mice","C57BL/6","male",105,105,8,8,"grouped",NA,"12","enrichment","voluntary",NA,70,"pre-conception",NA,NA,"single","mixed","HC:HC(con)-EE:HC(exp)","fig.S6D.png","whole animal",105,"adulthood","MWM","memory(MWM)","target time(memory)","%",1.826086957,0.333333333,33,1,0.231884058,29,1,"no","Cohort_071","Shared_066","two dependent experiments (with or without vehicle)",NA,1.91485421359782,1.24873386847714,0.602175402616123,0.0870909519721403,-0.176896187168895,0.120573094829283,-0.362188126998222,0.239987275617902,0.00303889633926415,0.0147949224912097,"behavior"
"202","Benito_2018",2018,"R-Dependent Intergeneratiol Inheritance of Enhanced Syptic Plasticity after Environmental Enrichment","Cell Reports","mice","C57BL/6","male",105,105,8,8,"grouped",NA,"12","enrichment","voluntary",NA,70,"pre-conception",NA,NA,"single","mixed","HCI-vehicle(con)-EEI-vehicle(exp)","fig.S6H.png","whole animal",105,"adulthood","MWM","memory(MWM)","target time(memory)","%",1.931818182,0.306818182,14,0.988636364,0.284090909,9,1,"no","Cohort_072","Shared_067","two dependent experiments (with or without vehicle)",NA,1.14800851707685,0.852272727,0.66989031812198,0.107798569107252,-0.396051361472201,0.20876010756879,-0.755810323928069,-0.0859200058060893,0.0170852013467971,0.0133146941302301,"behavior"
"203","Segabizi_2019",2019,"Effects of Materl Physical Exercise on Global D Methylation and Hippocampal Plasticity of Rat Male Offspring","Neuroscience","rats","Wistar","female",60,NA,7,8,"grouped","20","12","treadmill-running","forced","20min",22,"pre-conception","7","7","with dam","male","SS(con)-ES(exp)","fig.2B.png","whole animal",53,"adolescence","MWM","memory(MWM)","target time(memory)","sec",21.07142857,1.25,11,18.21428571,1.785714286,11,1,"yes","Cohort_075","Shared_070","shared control; three levels of exercise",NA,4.14578098794425,5.92254426943939,0.145711811348891,0.0131307915262876,-0.502386755447624,0.113130791526288,-1.21915189484464,-1.07344008349575,0.0226266765076165,0.0194044508850401,"behavior"
"204","Segabizi_2019",2019,"Effects of Materl Physical Exercise on Global D Methylation and Hippocampal Plasticity of Rat Male Offspring","Neuroscience","rats","Wistar","female",60,NA,7,8,"grouped","20","12","treadmill-running","forced","20min",22,"pre-conception","7","7","with dam","male","SS(con)-SE(exp)","fig.2B.png","whole animal",53,"adolescence","MWM","memory(MWM)","target time(memory)","sec",17.14285714,1.607142857,11,18.21428571,1.785714286,11,1,"yes","Cohort_076","Shared_071","shared control; three levels of exercise",NA,5.3302898411688,5.92254426943939,-0.0606246217478073,0.0184007503213459,-0.0447358941589082,0.118400750321346,-1.01281546174794,-1.07344008349575,0.0183766340347717,0.0194044508850401,"behavior"
"205","Segabizi_2019",2019,"Effects of Materl Physical Exercise on Global D Methylation and Hippocampal Plasticity of Rat Male Offspring","Neuroscience","rats","Wistar","female",60,NA,7,8,"grouped","20","12","treadmill-running","forced","20min",22,"pre-conception","7","7","with dam","male","SS(con)-EE(exp)","fig.2B.png","whole animal",53,"adolescence","MWM","memory(MWM)","target time(memory)","sec",12.5,1.071428571,11,18.21428571,1.785714286,11,1,"yes","Cohort_077","Shared_072","shared control; three levels of exercise",NA,3.55352655967366,5.92254426943939,-0.376477570999618,0.0169586265896114,-0.134348053326373,0.116958626589611,-0.696962512496128,-1.07344008349575,0.0121580232814145,0.0194044508850401,"behavior"
